Epoch: 74, Train Loss: 0.02371529443998754, Valid Loss: 0.023958336815148955
Epoch: 75, Train Loss: 0.023655532767263548, Valid Loss: 0.02384348502495239
Epoch: 76, Train Loss: 0.023668499833914624, Valid Loss: 0.02384348502495239
Epoch: 77, Train Loss: 0.023596350320751247, Valid Loss: 0.02384348502495239
Epoch: 78, Train Loss: 0.023588487166169368, Valid Loss: 0.023720971805445433
Epoch: 79, Train Loss: 0.023510091126434245, Valid Loss: 0.023720971805445433
Epoch: 80, Train Loss: 0.023495748322166003, Valid Loss: 0.023720971805445433
Epoch: 81, Train Loss: 0.023492435474564918, Valid Loss: 0.023625175196418016
Epoch: 82, Train Loss: 0.023420409267562975, Valid Loss: 0.023625175196418016
Epoch: 83, Train Loss: 0.023368187214214433, Valid Loss: 0.023625175196418016
Epoch: 84, Train Loss: 0.02337495596521342, Valid Loss: 0.023556390543738204
Epoch: 85, Train Loss: 0.023354624795139004, Valid Loss: 0.023556390543738204
Epoch: 86, Train Loss: 0.02333480785003967, Valid Loss: 0.023556390543738204
Epoch: 87, Train Loss: 0.023308997166613377, Valid Loss: 0.02345323959891059
Epoch: 88, Train Loss: 0.02324138426926613, Valid Loss: 0.02345323959891059
Epoch: 89, Train Loss: 0.023236817831196105, Valid Loss: 0.02345323959891059
Epoch: 90, Train Loss: 0.023199156075193378, Valid Loss: 0.02338571154995932
Epoch: 91, Train Loss: 0.02315737815124283, Valid Loss: 0.02338571154995932
Epoch: 92, Train Loss: 0.02319050454685788, Valid Loss: 0.02338571154995932
Epoch: 93, Train Loss: 0.023155376439586362, Valid Loss: 0.0233010856326779
Epoch: 94, Train Loss: 0.023115222850402437, Valid Loss: 0.0233010856326779
Epoch: 95, Train Loss: 0.023077517032371788, Valid Loss: 0.0233010856326779
Epoch: 96, Train Loss: 0.023105468974784046, Valid Loss: 0.023229134900028914
Epoch: 97, Train Loss: 0.023051420554081867, Valid Loss: 0.023229134900028914
Epoch: 98, Train Loss: 0.023063711720291445, Valid Loss: 0.023229134900028914
Epoch: 99, Train Loss: 0.023016706756102345, Valid Loss: 0.023169904389127208
